DoubleRing,,Phone,,QWERTY,,SingleRing,
366582908,25,365519421,61,363767382,41,364147379,33
366588303,45,365525083,45,363795959,16,364151776,38
366594131,72,365529513,77,363799289,31,364157971,26
366601892,30,365536640,47,363802754,22,364163766,40
366606588,26,365541436,61,363805818,42,364169596,54
366610618,61,365547298,71,363812845,36,364176723,32
366616714,78,365555825,39,363816776,12,364388820,47
366624640,24,365561254,43,363820207,52,364410836,56
366628571,104,365566386,59,363825369,26,364418897,134
366638263,25,365573278,28,363828735,21,364433019,37
366642859,80,365584303,46,363835828,30,364437651,21
366650154,61,365603156,20,363840025,59,364441911,40
366660845,24,365614411,53,363845686,20,364446707,111
366664542,98,365619908,50,363848783,37,364627098,56
366673502,60,365626103,30,363852447,11,364635424,90
366678965,35,365629766,80,363856245,28,364644118,31
366683427,43,365636495,57,363859642,28,364650179,25
366688157,109,365641690,47,363863105,25,365226521,59
366698215,18,365646619,56,363868667,53,365232316,89
366701814,17,365656911,24,363874164,19,365240543,28
366705044,33,365662108,117,363876765,22,365244507,60
366709506,72,365673698,36,363880025,22,365250501,61
366717067,21,365678161,44,363883323,12,365256696,40
366720698,69,365682857,89,363886254,24,365261259,98
366727129,38,365690918,20,363890151,29,365289471,69
366734719,52,365694015,31,363894282,51,365295832,62
366739549,87,365709439,16,363899010,34,365308389,18
366747976,31,365759164,105,363913465,29,365312052,60
366751606,36,366432826,61,363917729,54,365318648,118
366756170,64,366438556,63,363923458,38,365328606,13
366770624,26,366449180,30,363927921,44,365332037,35
366773989,22,366454242,50,363932317,11,365336233,52
366777319,77,366459073,104,363936847,24,365341296,75
366783647,59,366470097,69,363939944,10,365349156,48
366789575,131,366476226,24,363942143,30,365354385,18
366800534,13,366480123,51,363945774,28,365357317,73
366802865,9,366484952,96,363949337,48,365364477,56
366805063,40,366494078,38,363954168,25,365378533,67
366809860,70,366501072,23,363957731,34,365384961,58
366815922,48,366505235,54,363962763,17,365404378,46
366822783,45,366510965,73,363965624,11,365409609,16
366829178,65,366517560,24,363968155,15,365412772,67
366835207,45,366520890,29,363979381,23,365419933,92
366840468,53,366524853,49,363983110,23,365427860,57
366845432,67,366530782,73,363986307,20,365434854,61
366852126,27,366538343,49,363989205,33,365441116,44
366859120,99,366543072,26,363993236,37,365445646,75
366867748,70,366546637,76,363997066,18,365452640,80
366874508,54,366552765,79,364001096,74,365460101,26
,49,365545613.4,53.1,363807513.4,29.9,364261878.3,49.7
,53.02564103,366108750,52.87179487,363918491.8,29.48717949,365203993.2,56.28205128
