DoubleRing,,Phone,,QWERTY,,SingleRing,
-1,-1,454404776,65,456096496,19,452858506,115
455135660,68,454416000,48,456099161,42,453065442,28
455142256,103,454421996,140,456103291,12,453074302,95
455153380,21,454432953,58,456105356,37,453083495,101
455156811,62,454438683,45,456109519,29,453093021,141
455163339,26,454458167,57,456112583,20,453105110,52
455173964,59,454464828,53,456115747,23,453111041,36
455179559,34,454470257,76,456119278,12,453125360,24
455184389,26,454477851,105,456121943,24,453129859,17
455187653,18,454487443,43,456126505,46,453137884,155
455190751,52,454492573,99,456130635,33,453168393,104
455196246,70,454502398,24,456134071,32,453178585,66
455202507,84,454506361,69,456137397,31,453186379,64
455209303,20,454512557,44,456141327,67,453193306,54
455216663,25,454517286,60,456150253,45,453199302,65
455219861,35,454523414,32,456154683,18,453207162,69
455224191,39,454527245,29,456157447,40,453213890,72
455228154,71,454531409,69,456162144,32,453237909,52
455235481,10,454538203,66,456165407,30,453243700,34
455238079,92,454544566,36,456169871,20,453248562,41
455357950,37,454549128,83,456172603,35,453261055,38
455362647,35,454556555,93,456176066,45,453270612,61
455374704,48,454563949,13,456180796,26,453279006,51
455380599,61,454574207,58,456184030,28,453285900,54
455479121,68,454582335,20,456187261,24,453291795,39
455935890,102,454585765,15,456190255,44,453297723,16
455945250,88,454589529,45,456195217,9,453309281,87
455952943,68,454594591,46,456197782,36,453317341,51
455960305,15,454599454,56,456201812,25,453339125,30
455963136,52,454612944,19,456205310,29,453344453,56
455968332,20,454616242,39,456209240,37,453350781,27
455971629,15,454622036,37,456213802,38,453354312,36
455975858,28,454626300,22,456218499,23,453358542,66
455980788,141,454632528,35,456222696,21,453366269,38
455992545,62,454636558,33,456226126,25,453372664,44
455999507,48,454640288,64,456234053,15,453379126,19
456004936,37,454646383,104,456236384,29,453383056,104
456009931,52,454654977,26,456240349,26,453404972,25
456015294,18,454660139,62,456244012,24,453409268,27
456018925,35,454668366,86,456247143,29,453413465,47
456022788,41,454675727,41,456254470,62,453419327,41
456030149,83,454679823,53,456260166,13,453424556,92
456045536,66,454684853,28,456263463,14,453433116,88
456051166,28,454693080,43,456266694,56,453441344,115
456054729,100,454696976,64,456271490,35,453453932,53
456063889,32,454702506,48,456274888,14,453482343,156
456067686,17,454721291,19,456277252,43,453495633,25
456070650,50,454724755,40,456281949,80,453500029,74
456075680,47,454732048,55,456288710,29,453506557,39
,46.33333333,454447295.4,69,456110987.9,26.4,453078402,76.4
,51.07692308,454608188.3,48.07692308,456208352.6,32.35897436,453333917.2,56.92307692
