DoubleRing,,Phone,,QWERTY,,SingleRing,
532689383,79,532115507,87,533171068,20,533406447,64
532697278,128,532123266,75,533174033,24,533412209,91
532707736,118,532131893,45,533177030,25,533419803,66
532718494,91,532136756,96,533180060,37,533425799,67
532726154,76,532146281,49,533183823,29,533431461,41
532733748,45,532153909,94,533186722,32,533437256,57
532738845,39,532206936,57,533190119,33,533442784,75
532744506,24,532214361,99,533193283,34,533461969,63
532748470,68,532222621,21,533196713,33,533475026,121
532754865,68,532225952,20,533199877,39,533484352,78
532762258,45,532229915,60,533203742,42,533492512,36
532768021,94,532235344,60,533207139,20,533495910,56
532777646,21,532241039,88,533213201,37,533501805,15
532781177,123,532248134,19,533225191,33,533504303,19
532791635,67,532261956,21,533228522,65,533513395,66
532797231,71,532267085,70,533234550,26,533520524,30
532931659,45,532274179,54,533237114,16,533524422,92
532936520,33,532280375,65,533239746,45,533532147,68
532940150,10,532287337,76,533243610,42,533538342,44
532942749,60,532294931,92,533247507,26,533543505,333
532949710,56,532302824,58,533250304,32,533568284,60
532955405,34,532308019,52,533253834,34,533573947,68
532959369,57,532312983,52,533256933,50,533580642,24
532967063,36,532337796,25,533261296,50,533583306,161
532970560,22,532343824,58,533265559,50,533596363,26
532975289,42,532348821,29,533269489,30,533599827,59
532981085,48,532353450,50,533272653,27,533604822,53
532987048,49,532358579,49,533275651,19,533610851,31
532991510,62,532368339,60,533278249,26,533614515,42
532996741,111,532374134,90,533280980,35,533618445,63
533005499,31,532381094,44,533296967,35,533626139,56
533016690,24,532386158,43,533300065,22,533632034,39
533021253,27,532395150,29,533302363,37,533635965,39
533024317,97,532398181,36,533305860,15,533639763,27
533031913,66,532404610,135,533307791,17,533735818,157
533038439,22,532426660,35,533309791,16,533748642,26
533041603,17,532430623,19,533312158,20,533752172,110
533045068,23,532434586,24,533317087,16,533761231,34
533050996,36,532443312,102,533319982,38,533764396,89
533056059,77,532465328,89,533323446,23,533773455,93
533072779,112,532473222,48,533326344,22,533780417,16
533080539,65,532477552,77,533329208,35,533784347,21
533088433,27,532483480,46,533332739,50,533787011,14
533097692,84,532488910,125,533337102,34,533789476,70
533104687,65,532498035,97,533340665,25,533796037,43
533111015,83,532511991,61,533343764,37,533800467,61
533118809,44,532563283,27,533347361,40,533806595,39
533125037,41,532567780,15,533353024,52,533811892,18
533130532,26,532578738,11,533359484,51,533814423,10
,73.6,532167748.2,64.3,533185272.8,30.6,533439710.6,72.3
,52.64102564,532380455.3,56.17948718,533284883.9,33.07692308,533650208.9,59.17948718
