DoubleRing,Phone,QWERTY,SingleRing
8819,9331,9165,10627
3596,3986,3344,3726
5549,6960,7027,6429
11820,12042,10288,20661
5218,6879,6769,7726
8851,8320,7166,11124
3553,5263,3697,5969
3006,2595,2529,3835
8223,11789,8442,14789
9216,10899,8385,506
1232,1631,1667,12845
7462,7565,5857,2301
3390,3809,4708,12098
6723,5694,4274,5539
4716,4061,5938,8416
2862,2224,2128,4655
1427,1193,1763,4334
13376,13296,11761,2029
3906,4128,4864,19039
1059,1357,1091,5207
1569,1632,1271,1827
2895,3232,4527,2554
5201,6993,5669,4435
3183,3044,4157,8742
7676,7122,6771,5034
3122,4135,3725,12484
2270,2800,2769,5054
1138,833,1232,5023
4895,3695,3915,1083
5872,4038,6221,5712
1935,6623,2639,9187
7570,3295,7132,3293
5358,9246,6177,16751
6042,6621,5022,10959
2066,6334,2769,7649
8365,2431,6992,2534
3231,7182,3298,10258
4128,6275,4003,6913
3471,4800,4255,5075
4596,4523,4367,5357
1089,5970,1504,7929
2338,1298,2506,1426
3151,2703,2559,3044
1266,3665,1331,5379
3933,1536,3887,2336
3939,3790,5267,7780
4218,4162,4990,5436
5364,4868,4084,8959
4561,4067,4703,6988
,,,
4662.163265,5100.714286,4665.408163,6960.326531
